CODIGO|ALTURADESDE|ALTURAHASTA
36900 | 0001| 9999
36950 | 0001| 9999
37100 | 0001| 9999
37300 | 0001| 9999
37500 | 0001| 9999
37700 | 0001| 9999
37900 | 0001| 9999
38100 | 0001| 9999
38300 | 0001| 9999
38500 | 0001| 9999
38700 | 0001| 9999
38900 | 0001| 9999
39100 | 0001| 9999
39300 | 0001| 9999
39500 | 0001| 9999
39900 | 0001| 9999
40100A| 0001| 9999
40100B| 0001| 9999
40300A| 0001| 9999
40300B| 0001| 9999
40500 | 0001| 9999
40700 | 0001| 9999
40900 | 0001| 9999
41100 | 0001| 9999
41300 | 0001| 9999
37600B| 0001| 9999
37325 | 0001| 9999
37375 | 0001| 9999
34500 | 0001| 9999
34925 | 0001| 9999
35100 | 0001| 9999
34900 | 0001| 9999
34700 | 0001| 9999
38450 | 0001| 9999
39400 | 0001| 9999
39600 | 0001| 9999
39800 | 0001| 9999
40000 | 0001| 9999
40200 | 0001| 9999
41000 | 0001| 9999
31600 | 0001| 9999
31800 | 0001| 9999
31000 | 0001| 9999
31200 | 0001| 9999
31400 | 0001| 9999
32000 | 0001| 9999
32200B| 0001| 9999
32400B| 0001| 9999
32600B| 0001| 9999
38400A| 0001| 9999
32625 | 0001| 9999
32800 | 0001| 9999
33000 | 0001| 9999
33200 | 0001| 9999
33400 | 0001| 9999
38600A| 0001| 9999
33600 | 0001| 9999
33450 | 0001| 9999
38800A| 0001| 9999
33429 | 0001| 9999
33650 | 0001| 9999
34050 | 0001| 9999
